legacy_fingerprint,dataset,model,task,seed,fold_id,window_length,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,v1_5_identity_id,n_ok_records_on_this_substrate,n_scored_on_this_substrate,n_config_hashes_on_this_substrate,config_hashes,experiments,n_substrates_sharing_this_fingerprint,classification
45c87a4ad9a71818,d2_beef_uncontrolled,R1,classification,0,0,16,4000,,,R1_weight_shuffled,,4c433d13a9b045bb,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
45c87a4ad9a71818,d2_beef_uncontrolled,R1,classification,0,0,16,500,,,R1_weight_shuffled,,3150d41d37661830,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
4ab8b44746c45615,d2_beef_uncontrolled,R6,classification,0,2,16,1000,,,R6_dense_random,,70ade63333ae04be,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
4ab8b44746c45615,d2_beef_uncontrolled,R6,classification,0,2,16,2000,,,R6_dense_random,,236bacc0d42b616e,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
4ab8b44746c45615,d2_beef_uncontrolled,R6,classification,0,2,16,250,,,R6_dense_random,,7d333c3c462abd37,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
4ab8b44746c45615,d2_beef_uncontrolled,R6,classification,0,2,16,4000,,,R6_dense_random,,1776fa9574be45b8,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
4ab8b44746c45615,d2_beef_uncontrolled,R6,classification,0,2,16,500,,,R6_dense_random,,dc035b02ace7016b,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
4c425fc094f772a0,d2_beef_uncontrolled,R0,classification,0,2,16,1000,n1_pre_l1,,R0_real_fly,,5b63c374005aff0f,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
4c425fc094f772a0,d2_beef_uncontrolled,R0,classification,0,2,16,2000,n1_pre_l1,,R0_real_fly,,dac506ccca0fcf87,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
4c425fc094f772a0,d2_beef_uncontrolled,R0,classification,0,2,16,250,n1_pre_l1,,R0_real_fly,,699019801bf4df2b,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
4c425fc094f772a0,d2_beef_uncontrolled,R0,classification,0,2,16,4000,n1_pre_l1,,R0_real_fly,,6207fa3ab9905c4f,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
4c425fc094f772a0,d2_beef_uncontrolled,R0,classification,0,2,16,500,n1_pre_l1,,R0_real_fly,,c9915175516d371e,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
54c73a04dd5a590f,d2_beef_uncontrolled,R0,regression,0,0,16,1000,n1_pre_l1,,R0_real_fly,,ad87781c0cf64fab,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
54c73a04dd5a590f,d2_beef_uncontrolled,R0,regression,0,0,16,2000,n1_pre_l1,,R0_real_fly,,46eecabdf2d0f405,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
54c73a04dd5a590f,d2_beef_uncontrolled,R0,regression,0,0,16,250,n1_pre_l1,,R0_real_fly,,edadd7811cd296df,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
54c73a04dd5a590f,d2_beef_uncontrolled,R0,regression,0,0,16,4000,n1_pre_l1,,R0_real_fly,,58df7080d1fd2cb8,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
